paper_id,venue_id
53e9978db7602d9701f4cccd,53a730a620f7420be8d00a51
53e9978db7602d9701f50657,555036f37cea80f95416924b
53e9979bb7602d9701f63a92,555036dd7cea80f954161b94
53e99792b7602d9701f59e93,53e1851520f7dfbc07e8d228
53e99784b7602d9701f3f60f,53a7326c20f7420be8d9588a
53e9978ab7602d9701f4b083,53a7306120f7420be8ced937
53e9979fb7602d9701f6f2d5,53a731e220f7420be8d68c8f
53e99792b7602d9701f54bcc,53a72dbe20f7420be8c72ca2
53e99792b7602d9701f571f3,572dd8ddd39c4f49934859f5
53e99785b7602d9701f445a8,5736ac05d39c4f40a7953a30
53e9978ab7602d9701f475c4,54824c96582fc50b5e00b6a4
53e99792b7602d9701f54ffb,5736ae3ad39c4f40a7976010
53e9978db7602d9701f514c5,53a731b220f7420be8d58a5d
53e9978ab7602d9701f4b096,53a7320c20f7420be8d76b91
53e99785b7602d9701f41e6e,54824c96582fc50b5e00b6a4
53e9978ab7602d9701f4735b,5736ae01d39c4f40a797354b
53e9978ab7602d9701f4804d,5736ae3ad39c4f40a7976060
53e99792b7602d9701f54b53,5736ae3ad39c4f40a7976010
53e99792b7602d9701f54bba,555036d17cea80f95415a4d7
53e99785b7602d9701f429d8,5736ab05d39c4f40a7948978
53e9978db7602d9701f5254a,53a72fbd20f7420be8cc0183
53e9978db7602d9701f5062e,53a7321820f7420be8d79a92
53e9978db7602d9701f5238a,53a72adc20f7420be8c0f0e5
53e99792b7602d9701f5706b,5736ad5fd39c4f40a7968fbf
53e997a2b7602d9701f777a9,555036d17cea80f95415a4d7
53e997a6b7602d9701f792c7,555036d17cea80f95415a4d7
53e99785b7602d9701f414fa,5736ae3ad39c4f40a7976010
53e9978eb7602d9701f52d12,53a730f520f7420be8d175f9
53e99792b7602d9701f58aab,555036d17cea80f95415a4d7
53e99796b7602d9701f5cf9e,53907aaa20f770854f5da24d
53e9978ab7602d9701f4a046,555036b97cea80f95414cf7b
53e9978db7602d9701f4f828,53a7318e20f7420be8d4ce95
53e997a2b7602d9701f71673,53a7318e20f7420be8d4ce95
53e9979fb7602d9701f6ef4e,5390ac8320f70186a0eb7583
53e9979eb7602d9701f6ca79,555036d17cea80f95415a4d7
53e9979fb7602d9701f6f0bf,569a1db1b0b7fae0fc504d34
53e9979fb7602d9701f6efdf,5736ac8cd39c4f40a795b13e
53e99785b7602d9701f43ec2,5736ae3ad39c4f40a797600a
53e9979bb7602d9701f66825,555036c07cea80f954151693
53e9979eb7602d9701f6c464,53a72fcc20f7420be8cc47ec
53e997a2b7602d9701f740a4,53a7269720f7420be8b7bd01
53e997a2b7602d9701f74dc7,53a7269720f7420be8b7bd01
53e997a6b7602d9701f7bc4a,555036c87cea80f954155dc0
53e997a6b7602d9701f7b19d,53a0033c831432abcb746606
53e99785b7602d9701f414c5,555036e07cea80f954163349
53e9978ab7602d9701f47303,54824c96582fc50b5e00b6a4
53e9978ab7602d9701f4cb6e,555036b37cea80f954149ff1
53e9979bb7602d9701f64c1a,555036e37cea80f954164afa
