author_id,paper_id
53f45728dabfaec09f209538,53e99784b7602d9701f3e133
5601754345cedb3395e59457,53e99784b7602d9701f3e133
53f38438dabfae4b34a08928,53e99784b7602d9701f3e133
5601754345cedb3395e5945a,53e99784b7602d9701f3e133
53f43d25dabfaeecd6995149,53e99784b7602d9701f3e133
53f46797dabfaeb22f542630,53e99784b7602d9701f3e151
54328883dabfaeb4c6a8a699,53e99784b7602d9701f3e151
53f43b03dabfaedce555bf2a,53e99784b7602d9701f3e15d
53f45ee9dabfaee43ecda842,53e99784b7602d9701f3e15d
53f42e8cdabfaee1c0a4274e,53e99784b7602d9701f3e15d
53f43d95dabfaedf435b63fa,53e99784b7602d9701f3e162
54484654dabfae87b7dfc077,53e99784b7602d9701f3e165
53f39e3edabfae4b34aa8c4a,53e99784b7602d9701f3e922
53f46ac3dabfaeee22a63eab,53e99784b7602d9701f3e922
53f44f6adabfaedf435efcb8,53e99784b7602d9701f3e922
53f45ad4dabfaee1c0b3e206,53e99784b7602d9701f3e4f4
53f438d0dabfaeee229c1f1c,53e99784b7602d9701f3eaf2
53f47083dabfaeee22a79321,53e99784b7602d9701f3eaf2
560175b545cedb3395e59d80,53e99784b7602d9701f3eaf6
53f42d84dabfaee1c0a355c4,53e99784b7602d9701f3f177
53f46fa1dabfaec09f263a80,53e99784b7602d9701f3f177
541023addabfae450f4d5127,53e99784b7602d9701f3f177
53f454cddabfaec09f2009b7,53e99784b7602d9701f3f177
54096818dabfae8faa68bc76,53e99784b7602d9701f3f177
54865672dabfae8a11fb31aa,53e99784b7602d9701f3f177
53f44a4adabfaedd74dfe5c0,53e99784b7602d9701f3f326
53f42fd0dabfaedd74d553b0,53e99784b7602d9701f3f327
53f459b8dabfaeecd69f7b93,53e99784b7602d9701f3f4d1
53f463b3dabfaee4dc8430d5,53e99784b7602d9701f3f4d2
53f4d04ddabfaeeee2f8199d,53e99784b7602d9701f3f0b9
53f431fedabfaee43ec009a6,53e99784b7602d9701f3f0b9
53f46fe4dabfaeee22a770f3,53e99784b7602d9701f3f0b9
53f49508dabfaeb4c677b4a4,53e99784b7602d9701f3f8c1
53f4d429dabfaeedd3781ccf,53e99784b7602d9701f3f8c3
53f459b8dabfaee0d9c00acb,53e99784b7602d9701f3f8c3
54093fbcdabfae450f46f78e,53e99784b7602d9701f3f8c3
548a2e3ddabfae9b40134fbc,53e99784b7602d9701f3f411
53f46a22dabfaee0d9c3d5e5,53e99784b7602d9701f3f5fe
53f6339bdabfae2722c7163e,53e99784b7602d9701f3f60c
560175ed45cedb3395e5a3a6,53e99784b7602d9701f3f60f
53f4395ddabfaee2a1d02a9e,53e99784b7602d9701f3f955
53f3aaabdabfae4b34af5123,53e99784b7602d9701f3f955
548999a7dabfae9b40134ba3,53e99784b7602d9701f3f956
53f42ce6dabfaec09f10dd58,53e99784b7602d9701f3f957
53f45018dabfaee43eca4008,53e99784b7602d9701f3f957
53f454a2dabfaeee22a2db26,53e99784b7602d9701f3f957
53f42cecdabfaeb1a7b84856,53e99784b7602d9701f3f957
560175f845cedb3395e5a54e,53e99784b7602d9701f3f958
53f42ef2dabfaee1c0a47ad5,53e99784b7602d9701f3f958
540548eddabfae92b41be5a4,53e99784b7602d9701f3f958
53f42cf5dabfaeb2acfe425e,53e99784b7602d9701f3f959
53f458aadabfaec09f20ed3a,53e99784b7602d9701f3f959
53f46eefdabfaee02adb698d,53e99784b7602d9701f3f95b
548a317bdabfae9b40134ffb,53e99784b7602d9701f3f95c
560175f845cedb3395e5a557,53e99784b7602d9701f3f962
53f45477dabfaedce55ab3b2,53e99784b7602d9701f3f963
5485e336dabfae8a11fb2d2a,53e99784b7602d9701f3f964
54067b13dabfae44f08370e4,53e99784b7602d9701f3f965
53f42e89dabfaee0d9b0be6b,53e99784b7602d9701f3f965
53f43aa2dabfaee1c0ac5f7f,53e99784b7602d9701f3f965
5433c60cdabfaeb4c6ace2ce,53e99784b7602d9701f3f966
53f398b4dabfae4b34a8429e,53e99784b7602d9701f3f967
53f43a0edabfaec22baa2d20,53e99784b7602d9701f3f968
53f3a5a9dabfae4b34ad71b2,53e99784b7602d9701f3f968
560175f845cedb3395e5a55a,53e99784b7602d9701f3f969
560175f845cedb3395e5a55d,53e99784b7602d9701f3f96a
560175f845cedb3395e5a560,53e99784b7602d9701f3f96d
5434c3a3dabfaebba5862fa7,53e99784b7602d9701f3f96e
53f442a4dabfaedd74de10a2,53e99784b7602d9701f3f96e
5406e098dabfae92b4226e11,53e99784b7602d9701f3f96e
53f44d2bdabfaeb22f4dbc85,53e99784b7602d9701f3f96e
540905ecdabfae92b42544d4,53e99784b7602d9701f3f96e
53f43808dabfaeecd696df48,53e99784b7602d9701f3f971
53f7e9bbdabfae90ec12c689,53e99784b7602d9701f3f613
53f439d1dabfaedce554e7f2,53e99784b7602d9701f3f973
53f46985dabfaeecd6a18f3f,53e99784b7602d9701f3f975
53f7e205dabfae9060af3f63,53e99784b7602d9701f3f977
53f4d100dabfaef00ef80b52,53e99784b7602d9701f3f98e
53f453aedabfaeb22f4f637d,53e99784b7602d9701f3f992
53f43d06dabfaee43ec661d9,53e99784b7602d9701f3f61b
5406d288dabfae44f085f379,53e99784b7602d9701f3f61b
54055d53dabfae91d3fd9f5a,53e99784b7602d9701f3f996
53f4309ddabfaeb1a7bb434b,53e99784b7602d9701f3f62a
53f80865dabfae92b4102a1b,53e99784b7602d9701f3f62c
53f43128dabfaee4dc7495fb,53e99784b7602d9701f3f62c
560175ed45cedb3395e5a3b2,53e99784b7602d9701f3f62d
53f58b15dabfaece00f8046d,53e99784b7602d9701f3f636
5448373bdabfae87b7de9edc,53e99784b7602d9701f3f642
53f43455dabfaeee22997105,53e99784b7602d9701f3f644
5405e588dabfae450f3df177,53e99784b7602d9701f3f644
53f7a2afdabfae9060ad5e0b,53e99784b7602d9701f3f644
5408b7b1dabfae450f439d28,53e99784b7602d9701f3f645
53f451b6dabfaee4dc7ff34d,53e99784b7602d9701f3f64d
562d00d345cedb3398d26ba3,53e99784b7602d9701f3f65a
53f45766dabfaee1c0b3174c,53e99784b7602d9701f3f65a
5435290fdabfaebba58aa917,53e99784b7602d9701f3f669
53f79b5cdabfae938c6c6234,53e99784b7602d9701f3f669
53f38413dabfae4b34a07ac8,53e99784b7602d9701f3f66b
53f47589dabfaeecd6a4700e,53e99784b7602d9701f3f670
53f455c1dabfaee2a1d71b0e,53e99784b7602d9701f3f671
53f42ea1dabfaee2a1c8c6cb,53e99784b7602d9701f3f671
53f430eedabfaee2a1ca9d7e,53e99784b7602d9701f3f68d
5432ad4bdabfaeb4c6a96249,53e99784b7602d9701f3f691
53f4a96adabfaedce56395ec,53e99784b7602d9701f3f692
53f37c5bdabfae4b349e6c7d,53e99784b7602d9701f3f697
53f474cddabfaee4dc887567,53e99784b7602d9701f3f6b5
560175f145cedb3395e5a417,53e99784b7602d9701f3f6b5
53f430fbdabfaeb22f435e19,53e99784b7602d9701f3f6b5
53f8467cdabfae92b411c5df,53e99784b7602d9701f3f6bd
540fce40dabfae450f4a6981,53e99784b7602d9701f3f6bd
54055b62dabfae92b41c9005,53e99784b7602d9701f3f6bd
53f4367cdabfaedce552fcda,53e99784b7602d9701f3f6cd
53f4468cdabfaec09f1c9ca1,53e99784b7602d9701f3f6cd
548931d7dabfae9b40134842,53e99784b7602d9701f3f6ce
53f43785dabfaeb22f47b975,53e99784b7602d9701f3f6d4
53f43407dabfaeb1a7bdd2e6,53e99784b7602d9701f3f6d8
53f43ca8dabfaefedbafd54a,53e99784b7602d9701f3f6db
