edition_id,publication_id
77xf41sa,53e9978db7602d9701f50657
82il87me,53e9979bb7602d9701f63a92
47kz29jb,53e99792b7602d9701f59e93
78yd91mv,53e99784b7602d9701f3f60f
76mc28ca,53e9978ab7602d9701f46887
01fu30mc,53e9978ab7602d9701f4b083
40rh14ms,53e99792b7602d9701f54bcc
27em18ob,53e9979eb7602d9701f6be82
43ay77iu,53e9978db7602d9701f514c4
53im03ke,53e9978ab7602d9701f475c4
99sl63wv,53e99792b7602d9701f54ffb
79ut60cs,53e9978ab7602d9701f45a8a
07gl81xq,53e9978db7602d9701f514c5
90vj55ri,53e99785b7602d9701f42beb
82po34qd,53e9978ab7602d9701f45885
83py23ps,53e9978ab7602d9701f4b096
01jg26tm,53e99785b7602d9701f41e6e
72it70zs,53e9978ab7602d9701f4735b
12cl80pe,53e99792b7602d9701f5881a
90wd34ia,53e9978ab7602d9701f4804d
88gd08is,53e997a6b7602d9701f7b48a
43gs63us,53e9978ab7602d9701f45abd
62xs60fm,53e99792b7602d9701f54b53
44fc00qa,53e99784b7602d9701f3f7f3
04ad99vv,53e99785b7602d9701f429d8
84ii44xs,53e9978db7602d9701f5254a
75vf86dh,53e9978ab7602d9701f48483
39rx62vf,53e9978db7602d9701f5062e
61yn73yu,53e99792b7602d9701f5461c
32gj54hf,53e99785b7602d9701f427e5
15ld64hy,53e9978ab7602d9701f45c6b
17ki07dh,53e99792b7602d9701f5706b
82gs00iq,53e99792b7602d9701f587f8
49ja34qu,53e997a2b7602d9701f777a9
90mq02ru,53e997a6b7602d9701f792c7
25iq23rr,53e99785b7602d9701f414fa
59ox65nf,53e99785b7602d9701f43eef
96kh47vv,53e9978ab7602d9701f4a0a0
85ae00fl,53e9978db7602d9701f4f4c4
30ji41cx,53e9978eb7602d9701f52d12
83vy07ap,53e9979fb7602d9701f6ef98
88fb14hm,53e9978ab7602d9701f45830
43ty39xw,53e99792b7602d9701f58aab
37ue74bx,53e99796b7602d9701f5cf9e
94jy86gg,53e9978ab7602d9701f4a046
21vi72fg,53e9978db7602d9701f4f828
26ti59ia,53e9978db7602d9701f5099c
67fq64nj,53e99792b7602d9701f568a3
64wd33jt,53e9979fb7602d9701f6ef4e
04ig26ni,53e9978db7602d9701f4cce7
27en63qs,53e9978db7602d9701f5071c
95ey41ar,53e99785b7602d9701f414b1
69np04ey,53e9978eb7602d9701f52ec7
19xo49ig,53e9979eb7602d9701f6ca79
99rt76pw,53e9979eb7602d9701f6e9f4
09nv30xc,53e99785b7602d9701f43ec2
98ha66yy,53e9979bb7602d9701f66825
47bi95hs,53e997a2b7602d9701f74dc7
08pa33mr,53e99796b7602d9701f5e8d7
46hu82oe,53e9979eb7602d9701f6e496
33by65pl,53e997a2b7602d9701f74c38
20kc78ps,53e997a2b7602d9701f77b51
76mz21gy,53e997a6b7602d9701f796a4
94wz47jg,53e997a6b7602d9701f7b19d
50ac24yf,53e99785b7602d9701f414c5
78kz57ze,53e9978ab7602d9701f4cb6e
31vj21mh,53e9978db7602d9701f509e1
43ox56rk,53e9978eb7602d9701f52d45
62gg95jz,53e9979bb7602d9701f63b94
51dl86rg,53e9979bb7602d9701f64c1a
25ww08nl,53e9979bb7602d9701f65489
59wo68vb,53e9979bb7602d9701f66d64
11tw40rr,53e9979fb7602d9701f6fa61
33by65pl,53e997a2b7602d9701f74184
18bp01xm,53e997a6b7602d9701f7b552
80ku83wp,53e99785b7602d9701f405f6
19de69ci,53e99785b7602d9701f4151f
49gv76ba,53e9978ab7602d9701f47e4d
97um27xo,53e9978db7602d9701f4d005
91ht18zc,53e9979bb7602d9701f67b56
64nv78nm,53e9979fb7602d9701f7021a
22mx61ej,53e997a2b7602d9701f71674
49dt98eb,53e99784b7602d9701f3f64d
47fa13vg,53e99785b7602d9701f43fa2
61ye37qn,53e9978ab7602d9701f457f0
88vl51wo,53e9978ab7602d9701f4a025
82po34qd,53e99792b7602d9701f5a361
59kt14jj,53e9978ab7602d9701f45934
82xh80pl,53e9978ab7602d9701f47d83
81pv49sp,53e9978ab7602d9701f47da9
41iy40od,53e9978db7602d9701f4ec36
70xg05vm,53e9978db7602d9701f4f446
89wy44hj,53e99792b7602d9701f54464
61wi07sy,53e99792b7602d9701f56a84
86ve60lz,53e9979bb7602d9701f68401
06zo96qg,53e997a6b7602d9701f78c05
41ma49gw,53e997a6b7602d9701f7b2c2
88rj04kf,53e9978ab7602d9701f46c66
27xi69dx,53e99792b7602d9701f58aa6
48qd74ox,53e9979bb7602d9701f68bad
03oi59qo,53e9979fb7602d9701f6f779
81os80gn,53e997a2b7602d9701f74f41
49ps87jd,53e99785b7602d9701f4054f
03lx49gs,53e99785b7602d9701f432b8
58ks83hc,53e9978ab7602d9701f457b2
35ke69tn,53e9978db7602d9701f517be
21hq37ft,53e9978eb7602d9701f52dfa
