editor_id,journal_id
DEL416hsw,539ffcf2831432abcb63c645
OMI943ydf,53e1824d20f7dfbc07e8bf54
EMF407pwj,55f8c33fc35f4f6dfd415864
NIK465xaw,53a7300120f7420be8cd3298
MQI772yxt,555037237cea80f95417549b
NVN931wuh,55f8c707c35f4f6dfd415a03
PLI977eib,5736b2a5d39c4f40a799f9d4
FLK773wwe,555036b57cea80f95414abd8
VEP041zlm,55f8c205c35f4f6dfd4157c1
DTE916hpr,53a72fc720f7420be8cc3075
PTE781vjq,53a72b2d20f7420be8c1c5a9
QRL171asl,539078f320f770854f5a88f2
LFY493qht,5390972320f70186a0df9728
JFB214pmv,53a7320120f7420be8d7197e
MNG202xif,53a7267e20f7420be8b78dc5
JTA520twb,5390a71c20f70186a0e88c48
MVG096lwh,53a731fc20f7420be8d70db7
TFP451gok,53e1832920f7dfbc07e8c53a
GRT585esf,53a726b420f7420be8b7ec67
CLV183vsl,53a728d120f7420be8bb9575
ELB724cdl,53a7314420f7420be8d31c79
QYR719lbg,53a730ea20f7420be8d13b56
UZR527ouu,539e7ce88314ff4cf4c670e8
IWH345ryf,53a72ffa20f7420be8cd0f67
TRQ518qba,555036c97cea80f954155dd5
OMH036ruc,53a72fae20f7420be8cbbb17
QGH593zym,555036b87cea80f95414c3a9
VEB889koi,555036db7cea80f9541603d2
SQF621tib,54824ca9582fc50b5e00b6f4
KVH319jin,555037d67cea80f95419caa8
HHS172vbm,555036da7cea80f95415f80e
HPF272aqz,53e180b820f7dfbc07e8b4ce
EAR719pwq,53e1825420f7dfbc07e8bf80
SYR728scr,53a731d920f7420be8d65d97
PEZ294qow,55f8c6fac35f4f6dfd415a00
VUX447ftl,53a72fa520f7420be8cb8c28
EIO909znb,55f8c37ec35f4f6dfd41587f
TWK010wfp,53a72f6620f7420be8ca37e1
XES164skv,53a732bf20f7420be8db2235
NXC140cyh,5390a17f20f70186a0e53d3d
QDC942qed,555036db7cea80f9541603e1
EHH707gbh,555036d07cea80f954159906
KMP079kzv,53a72b2c20f7420be8c1c5a1
NBV890yqe,555036df7cea80f954162774
SRB881mqm,53a72b3120f7420be8c1d176
LPP371bja,53a7325120f7420be8d8e31c
IQC716ixm,5736ac1cd39c4f40a7954f21
ZQJ560wwi,53a731f120f7420be8d6d307
BJT137dpr,53a7308a20f7420be8cf94f6
MUA227fdr,555036c77cea80f954155204
HFC994tuc,555036f57cea80f954169e28
SDO644svq,57d088490a3ac5db49917a6a
NCE692tiz,53a7311020f7420be8d1dfa5
